B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	SIGNIFICANCE_OF	471	0.471
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	puerto	179	0.179
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	Grupo_Herdez	125	0.125
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	WITH_RESPECT	50	0.05
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	Mark_Abramson_MEDIANEWS	67	0.067
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	visit_www.ewga.com	21	0.021
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	E_CigaretteDirect_LLC	59	0.059
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	silks_velvets	8	0.008
Has_Changed_Forever	SIGNIFICANCE_OF	NA	NA	20	0.02
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	Grupo_Herdez	289	0.289
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	SIGNIFICANCE_OF	216	0.216
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	Mark_Abramson_MEDIANEWS	111	0.111
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	silks_velvets	14	0.014
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	puerto	156	0.156
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	E_CigaretteDirect_LLC	83	0.083
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	WITH_RESPECT	67	0.067
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	visit_www.ewga.com	44	0.044
Has_Changed_Forever	Complete_Sweep_Of	NA	NA	20	0.02
Complete_Sweep_Of	SIGNIFICANCE_OF	Grupo_Herdez	SIGNIFICANCE_OF	289	0.289
Complete_Sweep_Of	SIGNIFICANCE_OF	SIGNIFICANCE_OF	puerto	138	0.138
Complete_Sweep_Of	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	Grupo_Herdez	62	0.062
Complete_Sweep_Of	SIGNIFICANCE_OF	silks_velvets	WITH_RESPECT	12	0.012
Complete_Sweep_Of	SIGNIFICANCE_OF	puerto	SIGNIFICANCE_OF	156	0.156
Complete_Sweep_Of	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	60	0.06
Complete_Sweep_Of	SIGNIFICANCE_OF	WITH_RESPECT	visit_www.ewga.com	13	0.013
Complete_Sweep_Of	SIGNIFICANCE_OF	SIGNIFICANCE_OF	Grupo_Herdez	59	0.059
Complete_Sweep_Of	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	23	0.023
Complete_Sweep_Of	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	42	0.042
Complete_Sweep_Of	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	puerto	1	0.001
Complete_Sweep_Of	SIGNIFICANCE_OF	visit_www.ewga.com	WITH_RESPECT	37	0.037
Complete_Sweep_Of	SIGNIFICANCE_OF	WITH_RESPECT	puerto	38	0.038
Complete_Sweep_Of	SIGNIFICANCE_OF	SIGNIFICANCE_OF	silks_velvets	3	0.003
Complete_Sweep_Of	SIGNIFICANCE_OF	visit_www.ewga.com	SIGNIFICANCE_OF	3	0.003
Complete_Sweep_Of	SIGNIFICANCE_OF	WITH_RESPECT	silks_velvets	2	0.002
Complete_Sweep_Of	SIGNIFICANCE_OF	SIGNIFICANCE_OF	visit_www.ewga.com	6	0.006
Complete_Sweep_Of	SIGNIFICANCE_OF	WITH_RESPECT	E_CigaretteDirect_LLC	6	0.006
Complete_Sweep_Of	SIGNIFICANCE_OF	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	10	0.01
Complete_Sweep_Of	SIGNIFICANCE_OF	WITH_RESPECT	Mark_Abramson_MEDIANEWS	5	0.005
Complete_Sweep_Of	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	2	0.002
Complete_Sweep_Of	SIGNIFICANCE_OF	visit_www.ewga.com	Grupo_Herdez	1	0.001
Complete_Sweep_Of	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	silks_velvets	3	0.003
Complete_Sweep_Of	SIGNIFICANCE_OF	silks_velvets	Mark_Abramson_MEDIANEWS	2	0.002
Complete_Sweep_Of	SIGNIFICANCE_OF	visit_www.ewga.com	puerto	2	0.002
Complete_Sweep_Of	SIGNIFICANCE_OF	WITH_RESPECT	Grupo_Herdez	3	0.003
Complete_Sweep_Of	SIGNIFICANCE_OF	visit_www.ewga.com	E_CigaretteDirect_LLC	1	0.001
Complete_Sweep_Of	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	WITH_RESPECT	1	0.001
Complete_Sweep_Of	SIGNIFICANCE_OF	NA	NA	20	0.02
