B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	WITH_RESPECT	337	0.337
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	visit_www.ewga.com	77	0.077
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	Mark_Abramson_MEDIANEWS	506	0.506
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	SIGNIFICANCE_OF	76	0.076
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	puerto	2	0.002
Has_Changed_Forever	SIGNIFICANCE_OF	NA	NA	2	0.002
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Mark_Abramson_MEDIANEWS	385	0.385
Has_Changed_Forever	BOB_DROGIN	sliced_ham	WITH_RESPECT	451	0.451
Has_Changed_Forever	BOB_DROGIN	sliced_ham	SIGNIFICANCE_OF	70	0.07
Has_Changed_Forever	BOB_DROGIN	sliced_ham	visit_www.ewga.com	62	0.062
Has_Changed_Forever	BOB_DROGIN	sliced_ham	E_CigaretteDirect_LLC	7	0.007
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Grupo_Herdez	18	0.018
Has_Changed_Forever	BOB_DROGIN	sliced_ham	puerto	5	0.005
Has_Changed_Forever	BOB_DROGIN	NA	NA	2	0.002
BOB_DROGIN	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	WITH_RESPECT	333	0.333
BOB_DROGIN	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	33	0.033
BOB_DROGIN	SIGNIFICANCE_OF	WITH_RESPECT	Mark_Abramson_MEDIANEWS	437	0.437
BOB_DROGIN	SIGNIFICANCE_OF	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	24	0.024
BOB_DROGIN	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	19	0.019
BOB_DROGIN	SIGNIFICANCE_OF	WITH_RESPECT	visit_www.ewga.com	4	0.004
BOB_DROGIN	SIGNIFICANCE_OF	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	42	0.042
BOB_DROGIN	SIGNIFICANCE_OF	visit_www.ewga.com	SIGNIFICANCE_OF	20	0.02
BOB_DROGIN	SIGNIFICANCE_OF	SIGNIFICANCE_OF	WITH_RESPECT	4	0.004
BOB_DROGIN	SIGNIFICANCE_OF	WITH_RESPECT	SIGNIFICANCE_OF	10	0.01
BOB_DROGIN	SIGNIFICANCE_OF	SIGNIFICANCE_OF	visit_www.ewga.com	40	0.04
BOB_DROGIN	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	4	0.004
BOB_DROGIN	SIGNIFICANCE_OF	Grupo_Herdez	SIGNIFICANCE_OF	18	0.018
BOB_DROGIN	SIGNIFICANCE_OF	puerto	SIGNIFICANCE_OF	5	0.005
BOB_DROGIN	SIGNIFICANCE_OF	SIGNIFICANCE_OF	puerto	2	0.002
BOB_DROGIN	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	3	0.003
BOB_DROGIN	SIGNIFICANCE_OF	NA	NA	2	0.002
