B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	Mark_Abramson_MEDIANEWS	80	0.08
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	SIGNIFICANCE_OF	522	0.522
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	puerto	150	0.15
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	Grupo_Herdez	100	0.1
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	E_CigaretteDirect_LLC	44	0.044
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	visit_www.ewga.com	13	0.013
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	WITH_RESPECT	60	0.06
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	silks_velvets	10	0.01
Has_Changed_Forever	SIGNIFICANCE_OF	NA	NA	21	0.021
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	E_CigaretteDirect_LLC	110	0.11
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	Grupo_Herdez	275	0.275
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	puerto	212	0.212
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	WITH_RESPECT	57	0.057
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	SIGNIFICANCE_OF	177	0.177
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	Mark_Abramson_MEDIANEWS	84	0.084
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	visit_www.ewga.com	54	0.054
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	silks_velvets	10	0.01
Has_Changed_Forever	Complete_Sweep_Of	NA	NA	21	0.021
SIGNIFICANCE_OF	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	78	0.078
SIGNIFICANCE_OF	Complete_Sweep_Of	SIGNIFICANCE_OF	Grupo_Herdez	275	0.275
SIGNIFICANCE_OF	Complete_Sweep_Of	SIGNIFICANCE_OF	puerto	212	0.212
SIGNIFICANCE_OF	Complete_Sweep_Of	puerto	WITH_RESPECT	41	0.041
SIGNIFICANCE_OF	Complete_Sweep_Of	puerto	SIGNIFICANCE_OF	108	0.108
SIGNIFICANCE_OF	Complete_Sweep_Of	Grupo_Herdez	SIGNIFICANCE_OF	53	0.053
SIGNIFICANCE_OF	Complete_Sweep_Of	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	32	0.032
SIGNIFICANCE_OF	Complete_Sweep_Of	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	1	0.001
SIGNIFICANCE_OF	Complete_Sweep_Of	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	9	0.009
SIGNIFICANCE_OF	Complete_Sweep_Of	WITH_RESPECT	visit_www.ewga.com	50	0.05
SIGNIFICANCE_OF	Complete_Sweep_Of	Grupo_Herdez	Mark_Abramson_MEDIANEWS	44	0.044
SIGNIFICANCE_OF	Complete_Sweep_Of	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	32	0.032
SIGNIFICANCE_OF	Complete_Sweep_Of	silks_velvets	WITH_RESPECT	2	0.002
SIGNIFICANCE_OF	Complete_Sweep_Of	silks_velvets	SIGNIFICANCE_OF	3	0.003
SIGNIFICANCE_OF	Complete_Sweep_Of	WITH_RESPECT	silks_velvets	7	0.007
SIGNIFICANCE_OF	Complete_Sweep_Of	visit_www.ewga.com	WITH_RESPECT	9	0.009
SIGNIFICANCE_OF	Complete_Sweep_Of	Grupo_Herdez	WITH_RESPECT	3	0.003
SIGNIFICANCE_OF	Complete_Sweep_Of	visit_www.ewga.com	SIGNIFICANCE_OF	3	0.003
SIGNIFICANCE_OF	Complete_Sweep_Of	E_CigaretteDirect_LLC	WITH_RESPECT	2	0.002
SIGNIFICANCE_OF	Complete_Sweep_Of	silks_velvets	Mark_Abramson_MEDIANEWS	5	0.005
SIGNIFICANCE_OF	Complete_Sweep_Of	WITH_RESPECT	Mark_Abramson_MEDIANEWS	2	0.002
SIGNIFICANCE_OF	Complete_Sweep_Of	SIGNIFICANCE_OF	silks_velvets	1	0.001
SIGNIFICANCE_OF	Complete_Sweep_Of	SIGNIFICANCE_OF	visit_www.ewga.com	2	0.002
SIGNIFICANCE_OF	Complete_Sweep_Of	puerto	visit_www.ewga.com	1	0.001
SIGNIFICANCE_OF	Complete_Sweep_Of	E_CigaretteDirect_LLC	visit_www.ewga.com	1	0.001
SIGNIFICANCE_OF	Complete_Sweep_Of	WITH_RESPECT	SIGNIFICANCE_OF	1	0.001
SIGNIFICANCE_OF	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	silks_velvets	2	0.002
SIGNIFICANCE_OF	Complete_Sweep_Of	NA	NA	21	0.021
