B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	Grupo_Herdez	322	0.322
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	Mark_Abramson_MEDIANEWS	231	0.231
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	puerto	60	0.06
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	SIGNIFICANCE_OF	33	0.033
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	WITH_RESPECT	175	0.175
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	E_CigaretteDirect_LLC	90	0.09
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	silks_velvets	23	0.023
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	visit_www.ewga.com	18	0.018
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	NA	NA	48	0.048
Has_Changed_Forever	Latest_Advancements	sliced_ham	SIGNIFICANCE_OF	131	0.131
Has_Changed_Forever	Latest_Advancements	sliced_ham	Grupo_Herdez	203	0.203
Has_Changed_Forever	Latest_Advancements	sliced_ham	WITH_RESPECT	150	0.15
Has_Changed_Forever	Latest_Advancements	sliced_ham	E_CigaretteDirect_LLC	115	0.115
Has_Changed_Forever	Latest_Advancements	sliced_ham	Mark_Abramson_MEDIANEWS	160	0.16
Has_Changed_Forever	Latest_Advancements	sliced_ham	silks_velvets	57	0.057
Has_Changed_Forever	Latest_Advancements	sliced_ham	puerto	94	0.094
Has_Changed_Forever	Latest_Advancements	sliced_ham	visit_www.ewga.com	42	0.042
Has_Changed_Forever	Latest_Advancements	NA	NA	48	0.048
Mark_Abramson_MEDIANEWS	Latest_Advancements	Grupo_Herdez	SIGNIFICANCE_OF	72	0.072
Mark_Abramson_MEDIANEWS	Latest_Advancements	Mark_Abramson_MEDIANEWS	Grupo_Herdez	203	0.203
Mark_Abramson_MEDIANEWS	Latest_Advancements	puerto	WITH_RESPECT	40	0.04
Mark_Abramson_MEDIANEWS	Latest_Advancements	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	20	0.02
Mark_Abramson_MEDIANEWS	Latest_Advancements	Grupo_Herdez	Mark_Abramson_MEDIANEWS	138	0.138
Mark_Abramson_MEDIANEWS	Latest_Advancements	WITH_RESPECT	silks_velvets	33	0.033
Mark_Abramson_MEDIANEWS	Latest_Advancements	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	9	0.009
Mark_Abramson_MEDIANEWS	Latest_Advancements	Grupo_Herdez	WITH_RESPECT	49	0.049
Mark_Abramson_MEDIANEWS	Latest_Advancements	SIGNIFICANCE_OF	puerto	11	0.011
Mark_Abramson_MEDIANEWS	Latest_Advancements	WITH_RESPECT	puerto	69	0.069
Mark_Abramson_MEDIANEWS	Latest_Advancements	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	36	0.036
Mark_Abramson_MEDIANEWS	Latest_Advancements	WITH_RESPECT	E_CigaretteDirect_LLC	55	0.055
Mark_Abramson_MEDIANEWS	Latest_Advancements	Grupo_Herdez	E_CigaretteDirect_LLC	34	0.034
Mark_Abramson_MEDIANEWS	Latest_Advancements	puerto	visit_www.ewga.com	5	0.005
Mark_Abramson_MEDIANEWS	Latest_Advancements	Mark_Abramson_MEDIANEWS	silks_velvets	19	0.019
Mark_Abramson_MEDIANEWS	Latest_Advancements	E_CigaretteDirect_LLC	WITH_RESPECT	37	0.037
Mark_Abramson_MEDIANEWS	Latest_Advancements	puerto	SIGNIFICANCE_OF	14	0.014
Mark_Abramson_MEDIANEWS	Latest_Advancements	silks_velvets	WITH_RESPECT	11	0.011
Mark_Abramson_MEDIANEWS	Latest_Advancements	Mark_Abramson_MEDIANEWS	WITH_RESPECT	6	0.006
Mark_Abramson_MEDIANEWS	Latest_Advancements	silks_velvets	SIGNIFICANCE_OF	3	0.003
Mark_Abramson_MEDIANEWS	Latest_Advancements	Grupo_Herdez	puerto	13	0.013
Mark_Abramson_MEDIANEWS	Latest_Advancements	Grupo_Herdez	visit_www.ewga.com	11	0.011
Mark_Abramson_MEDIANEWS	Latest_Advancements	visit_www.ewga.com	E_CigaretteDirect_LLC	5	0.005
Mark_Abramson_MEDIANEWS	Latest_Advancements	WITH_RESPECT	visit_www.ewga.com	15	0.015
Mark_Abramson_MEDIANEWS	Latest_Advancements	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	1	0.001
Mark_Abramson_MEDIANEWS	Latest_Advancements	visit_www.ewga.com	WITH_RESPECT	7	0.007
Mark_Abramson_MEDIANEWS	Latest_Advancements	silks_velvets	Mark_Abramson_MEDIANEWS	8	0.008
Mark_Abramson_MEDIANEWS	Latest_Advancements	Grupo_Herdez	silks_velvets	5	0.005
Mark_Abramson_MEDIANEWS	Latest_Advancements	SIGNIFICANCE_OF	visit_www.ewga.com	2	0.002
Mark_Abramson_MEDIANEWS	Latest_Advancements	E_CigaretteDirect_LLC	visit_www.ewga.com	8	0.008
Mark_Abramson_MEDIANEWS	Latest_Advancements	Mark_Abramson_MEDIANEWS	puerto	1	0.001
Mark_Abramson_MEDIANEWS	Latest_Advancements	WITH_RESPECT	Mark_Abramson_MEDIANEWS	3	0.003
Mark_Abramson_MEDIANEWS	Latest_Advancements	visit_www.ewga.com	SIGNIFICANCE_OF	5	0.005
Mark_Abramson_MEDIANEWS	Latest_Advancements	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	1	0.001
Mark_Abramson_MEDIANEWS	Latest_Advancements	puerto	Mark_Abramson_MEDIANEWS	1	0.001
Mark_Abramson_MEDIANEWS	Latest_Advancements	silks_velvets	visit_www.ewga.com	1	0.001
Mark_Abramson_MEDIANEWS	Latest_Advancements	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	1	0.001
Mark_Abramson_MEDIANEWS	Latest_Advancements	NA	NA	48	0.048
