B_dom	B_cod	A_dom	A_cod	count	probability
BOB_DROGIN	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	Grupo_Herdez	58	0.058
BOB_DROGIN	Complete_Sweep_Of	visit_www.ewga.com	SIGNIFICANCE_OF	3	0.003
BOB_DROGIN	Complete_Sweep_Of	Grupo_Herdez	SIGNIFICANCE_OF	143	0.143
BOB_DROGIN	Complete_Sweep_Of	Grupo_Herdez	WITH_RESPECT	42	0.042
BOB_DROGIN	Complete_Sweep_Of	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	2	0.002
BOB_DROGIN	Complete_Sweep_Of	puerto	SIGNIFICANCE_OF	40	0.04
BOB_DROGIN	Complete_Sweep_Of	SIGNIFICANCE_OF	Grupo_Herdez	176	0.176
BOB_DROGIN	Complete_Sweep_Of	puerto	WITH_RESPECT	60	0.06
BOB_DROGIN	Complete_Sweep_Of	Grupo_Herdez	Mark_Abramson_MEDIANEWS	69	0.069
BOB_DROGIN	Complete_Sweep_Of	SIGNIFICANCE_OF	puerto	27	0.027
BOB_DROGIN	Complete_Sweep_Of	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	61	0.061
BOB_DROGIN	Complete_Sweep_Of	WITH_RESPECT	puerto	79	0.079
BOB_DROGIN	Complete_Sweep_Of	E_CigaretteDirect_LLC	visit_www.ewga.com	7	0.007
BOB_DROGIN	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	puerto	5	0.005
BOB_DROGIN	Complete_Sweep_Of	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	22	0.022
BOB_DROGIN	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	WITH_RESPECT	3	0.003
BOB_DROGIN	Complete_Sweep_Of	Grupo_Herdez	visit_www.ewga.com	10	0.01
BOB_DROGIN	Complete_Sweep_Of	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	25	0.025
BOB_DROGIN	Complete_Sweep_Of	SIGNIFICANCE_OF	silks_velvets	2	0.002
BOB_DROGIN	Complete_Sweep_Of	Grupo_Herdez	E_CigaretteDirect_LLC	21	0.021
BOB_DROGIN	Complete_Sweep_Of	Grupo_Herdez	puerto	4	0.004
BOB_DROGIN	Complete_Sweep_Of	E_CigaretteDirect_LLC	WITH_RESPECT	7	0.007
BOB_DROGIN	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	27	0.027
BOB_DROGIN	Complete_Sweep_Of	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	3	0.003
BOB_DROGIN	Complete_Sweep_Of	silks_velvets	WITH_RESPECT	8	0.008
BOB_DROGIN	Complete_Sweep_Of	WITH_RESPECT	Grupo_Herdez	12	0.012
BOB_DROGIN	Complete_Sweep_Of	E_CigaretteDirect_LLC	Grupo_Herdez	2	0.002
BOB_DROGIN	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	1	0.001
BOB_DROGIN	Complete_Sweep_Of	puerto	Mark_Abramson_MEDIANEWS	2	0.002
BOB_DROGIN	Complete_Sweep_Of	WITH_RESPECT	silks_velvets	12	0.012
BOB_DROGIN	Complete_Sweep_Of	WITH_RESPECT	E_CigaretteDirect_LLC	5	0.005
BOB_DROGIN	Complete_Sweep_Of	WITH_RESPECT	visit_www.ewga.com	19	0.019
BOB_DROGIN	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	silks_velvets	2	0.002
BOB_DROGIN	Complete_Sweep_Of	silks_velvets	Mark_Abramson_MEDIANEWS	5	0.005
BOB_DROGIN	Complete_Sweep_Of	WITH_RESPECT	Mark_Abramson_MEDIANEWS	1	0.001
BOB_DROGIN	Complete_Sweep_Of	silks_velvets	SIGNIFICANCE_OF	2	0.002
BOB_DROGIN	Complete_Sweep_Of	silks_velvets	Grupo_Herdez	1	0.001
BOB_DROGIN	Complete_Sweep_Of	puerto	visit_www.ewga.com	1	0.001
BOB_DROGIN	Complete_Sweep_Of	silks_velvets	visit_www.ewga.com	1	0.001
BOB_DROGIN	Complete_Sweep_Of	visit_www.ewga.com	WITH_RESPECT	2	0.002
BOB_DROGIN	Complete_Sweep_Of	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	1	0.001
BOB_DROGIN	Complete_Sweep_Of	visit_www.ewga.com	E_CigaretteDirect_LLC	1	0.001
BOB_DROGIN	Complete_Sweep_Of	Grupo_Herdez	silks_velvets	1	0.001
BOB_DROGIN	Complete_Sweep_Of	SIGNIFICANCE_OF	visit_www.ewga.com	3	0.003
BOB_DROGIN	Complete_Sweep_Of	visit_www.ewga.com	Grupo_Herdez	1	0.001
BOB_DROGIN	Complete_Sweep_Of	WITH_RESPECT	SIGNIFICANCE_OF	1	0.001
BOB_DROGIN	Complete_Sweep_Of	NA	NA	20	0.02
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	Grupo_Herdez	250	0.25
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	SIGNIFICANCE_OF	215	0.215
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	WITH_RESPECT	122	0.122
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	Mark_Abramson_MEDIANEWS	104	0.104
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	puerto	115	0.115
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	E_CigaretteDirect_LLC	115	0.115
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	visit_www.ewga.com	42	0.042
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	silks_velvets	17	0.017
Has_Changed_Forever	Complete_Sweep_Of	NA	NA	20	0.02
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Mark_Abramson_MEDIANEWS	97	0.097
Has_Changed_Forever	BOB_DROGIN	sliced_ham	visit_www.ewga.com	9	0.009
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Grupo_Herdez	290	0.29
Has_Changed_Forever	BOB_DROGIN	sliced_ham	puerto	103	0.103
Has_Changed_Forever	BOB_DROGIN	sliced_ham	SIGNIFICANCE_OF	272	0.272
Has_Changed_Forever	BOB_DROGIN	sliced_ham	WITH_RESPECT	129	0.129
Has_Changed_Forever	BOB_DROGIN	sliced_ham	E_CigaretteDirect_LLC	63	0.063
Has_Changed_Forever	BOB_DROGIN	sliced_ham	silks_velvets	17	0.017
Has_Changed_Forever	BOB_DROGIN	NA	NA	20	0.02
