B_dom	B_cod	A_dom	A_cod	count	probability
BOB_DROGIN	Mark_Abramson_MEDIANEWS	WITH_RESPECT	Mark_Abramson_MEDIANEWS	594	0.594
BOB_DROGIN	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	122	0.122
BOB_DROGIN	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	7	0.007
BOB_DROGIN	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	WITH_RESPECT	200	0.2
BOB_DROGIN	Mark_Abramson_MEDIANEWS	silks_velvets	Mark_Abramson_MEDIANEWS	1	0.001
BOB_DROGIN	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	22	0.022
BOB_DROGIN	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	22	0.022
BOB_DROGIN	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	Grupo_Herdez	2	0.002
BOB_DROGIN	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	3	0.003
BOB_DROGIN	Mark_Abramson_MEDIANEWS	puerto	Grupo_Herdez	2	0.002
BOB_DROGIN	Mark_Abramson_MEDIANEWS	Grupo_Herdez	Mark_Abramson_MEDIANEWS	6	0.006
BOB_DROGIN	Mark_Abramson_MEDIANEWS	Grupo_Herdez	SIGNIFICANCE_OF	7	0.007
BOB_DROGIN	Mark_Abramson_MEDIANEWS	silks_velvets	WITH_RESPECT	1	0.001
BOB_DROGIN	Mark_Abramson_MEDIANEWS	puerto	WITH_RESPECT	1	0.001
BOB_DROGIN	Mark_Abramson_MEDIANEWS	puerto	SIGNIFICANCE_OF	5	0.005
BOB_DROGIN	Mark_Abramson_MEDIANEWS	NA	NA	5	0.005
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	Mark_Abramson_MEDIANEWS	748	0.748
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	visit_www.ewga.com	7	0.007
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	WITH_RESPECT	202	0.202
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	SIGNIFICANCE_OF	34	0.034
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	Grupo_Herdez	4	0.004
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	NA	NA	5	0.005
Has_Changed_Forever	BOB_DROGIN	sliced_ham	WITH_RESPECT	594	0.594
Has_Changed_Forever	BOB_DROGIN	sliced_ham	SIGNIFICANCE_OF	122	0.122
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Mark_Abramson_MEDIANEWS	229	0.229
Has_Changed_Forever	BOB_DROGIN	sliced_ham	silks_velvets	2	0.002
Has_Changed_Forever	BOB_DROGIN	sliced_ham	visit_www.ewga.com	22	0.022
Has_Changed_Forever	BOB_DROGIN	sliced_ham	E_CigaretteDirect_LLC	5	0.005
Has_Changed_Forever	BOB_DROGIN	sliced_ham	puerto	8	0.008
Has_Changed_Forever	BOB_DROGIN	sliced_ham	Grupo_Herdez	13	0.013
Has_Changed_Forever	BOB_DROGIN	NA	NA	5	0.005
