B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	Grupo_Herdez	86	0.086
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	WITH_RESPECT	123	0.123
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	SIGNIFICANCE_OF	279	0.279
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	E_CigaretteDirect_LLC	125	0.125
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	visit_www.ewga.com	56	0.056
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	Mark_Abramson_MEDIANEWS	162	0.162
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	puerto	102	0.102
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	silks_velvets	28	0.028
Has_Changed_Forever	rookie_Alex_Prugh	NA	NA	39	0.039
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	Mark_Abramson_MEDIANEWS	65	0.065
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	puerto	65	0.065
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	SIGNIFICANCE_OF	149	0.149
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	E_CigaretteDirect_LLC	137	0.137
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	Grupo_Herdez	384	0.384
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	silks_velvets	25	0.025
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	WITH_RESPECT	116	0.116
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	sliced_ham	visit_www.ewga.com	20	0.02
Has_Changed_Forever	Mark_Abramson_MEDIANEWS	NA	NA	39	0.039
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	Grupo_Herdez	Mark_Abramson_MEDIANEWS	24	0.024
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	WITH_RESPECT	puerto	46	0.046
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	Grupo_Herdez	SIGNIFICANCE_OF	62	0.062
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	85	0.085
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	Grupo_Herdez	170	0.17
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	Grupo_Herdez	23	0.023
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	WITH_RESPECT	silks_velvets	14	0.014
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	73	0.073
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	E_CigaretteDirect_LLC	11	0.011
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	Grupo_Herdez	111	0.111
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	puerto	WITH_RESPECT	76	0.076
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	WITH_RESPECT	Grupo_Herdez	44	0.044
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	WITH_RESPECT	23	0.023
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	silks_velvets	10	0.01
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	puerto	2	0.002
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	WITH_RESPECT	2	0.002
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	33	0.033
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	puerto	Grupo_Herdez	13	0.013
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	silks_velvets	WITH_RESPECT	15	0.015
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	WITH_RESPECT	visit_www.ewga.com	9	0.009
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	puerto	SIGNIFICANCE_OF	12	0.012
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	29	0.029
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	Grupo_Herdez	17	0.017
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	visit_www.ewga.com	6	0.006
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	puerto	16	0.016
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	WITH_RESPECT	E_CigaretteDirect_LLC	8	0.008
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	silks_velvets	Grupo_Herdez	6	0.006
rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	WITH_RESPECT	Mark_Abramson_MEDIANEWS	2	0.002
