B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	Mark_Abramson_MEDIANEWS	175	0.175
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	E_CigaretteDirect_LLC	134	0.134
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	SIGNIFICANCE_OF	169	0.169
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	visit_www.ewga.com	76	0.076
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	Grupo_Herdez	118	0.118
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	silks_velvets	29	0.029
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	puerto	83	0.083
Has_Changed_Forever	rookie_Alex_Prugh	sliced_ham	WITH_RESPECT	146	0.146
Has_Changed_Forever	rookie_Alex_Prugh	NA	NA	70	0.07
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	Grupo_Herdez	269	0.269
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	SIGNIFICANCE_OF	134	0.134
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	E_CigaretteDirect_LLC	148	0.148
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	Mark_Abramson_MEDIANEWS	102	0.102
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	WITH_RESPECT	117	0.117
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	puerto	88	0.088
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	silks_velvets	26	0.026
Has_Changed_Forever	Complete_Sweep_Of	sliced_ham	visit_www.ewga.com	46	0.046
Has_Changed_Forever	Complete_Sweep_Of	NA	NA	70	0.07
Complete_Sweep_Of	rookie_Alex_Prugh	Grupo_Herdez	Mark_Abramson_MEDIANEWS	133	0.133
Complete_Sweep_Of	rookie_Alex_Prugh	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	73	0.073
Complete_Sweep_Of	rookie_Alex_Prugh	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	83	0.083
Complete_Sweep_Of	rookie_Alex_Prugh	Grupo_Herdez	SIGNIFICANCE_OF	57	0.057
Complete_Sweep_Of	rookie_Alex_Prugh	Grupo_Herdez	visit_www.ewga.com	18	0.018
Complete_Sweep_Of	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	Grupo_Herdez	65	0.065
Complete_Sweep_Of	rookie_Alex_Prugh	SIGNIFICANCE_OF	Grupo_Herdez	32	0.032
Complete_Sweep_Of	rookie_Alex_Prugh	Grupo_Herdez	silks_velvets	5	0.005
Complete_Sweep_Of	rookie_Alex_Prugh	WITH_RESPECT	puerto	47	0.047
Complete_Sweep_Of	rookie_Alex_Prugh	SIGNIFICANCE_OF	puerto	18	0.018
Complete_Sweep_Of	rookie_Alex_Prugh	SIGNIFICANCE_OF	visit_www.ewga.com	9	0.009
Complete_Sweep_Of	rookie_Alex_Prugh	puerto	SIGNIFICANCE_OF	12	0.012
Complete_Sweep_Of	rookie_Alex_Prugh	WITH_RESPECT	silks_velvets	16	0.016
Complete_Sweep_Of	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	silks_velvets	6	0.006
Complete_Sweep_Of	rookie_Alex_Prugh	WITH_RESPECT	E_CigaretteDirect_LLC	23	0.023
Complete_Sweep_Of	rookie_Alex_Prugh	puerto	WITH_RESPECT	64	0.064
Complete_Sweep_Of	rookie_Alex_Prugh	silks_velvets	WITH_RESPECT	10	0.01
Complete_Sweep_Of	rookie_Alex_Prugh	Grupo_Herdez	puerto	9	0.009
Complete_Sweep_Of	rookie_Alex_Prugh	silks_velvets	Mark_Abramson_MEDIANEWS	11	0.011
Complete_Sweep_Of	rookie_Alex_Prugh	visit_www.ewga.com	SIGNIFICANCE_OF	10	0.01
Complete_Sweep_Of	rookie_Alex_Prugh	silks_velvets	Grupo_Herdez	1	0.001
Complete_Sweep_Of	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	puerto	3	0.003
Complete_Sweep_Of	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	6	0.006
Complete_Sweep_Of	rookie_Alex_Prugh	Grupo_Herdez	WITH_RESPECT	34	0.034
Complete_Sweep_Of	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	18	0.018
Complete_Sweep_Of	rookie_Alex_Prugh	visit_www.ewga.com	puerto	6	0.006
Complete_Sweep_Of	rookie_Alex_Prugh	E_CigaretteDirect_LLC	WITH_RESPECT	23	0.023
Complete_Sweep_Of	rookie_Alex_Prugh	WITH_RESPECT	visit_www.ewga.com	19	0.019
Complete_Sweep_Of	rookie_Alex_Prugh	visit_www.ewga.com	E_CigaretteDirect_LLC	7	0.007
Complete_Sweep_Of	rookie_Alex_Prugh	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	1	0.001
Complete_Sweep_Of	rookie_Alex_Prugh	visit_www.ewga.com	WITH_RESPECT	14	0.014
Complete_Sweep_Of	rookie_Alex_Prugh	E_CigaretteDirect_LLC	visit_www.ewga.com	15	0.015
Complete_Sweep_Of	rookie_Alex_Prugh	E_CigaretteDirect_LLC	Mark_Abramson_MEDIANEWS	25	0.025
Complete_Sweep_Of	rookie_Alex_Prugh	WITH_RESPECT	Grupo_Herdez	10	0.01
Complete_Sweep_Of	rookie_Alex_Prugh	puerto	visit_www.ewga.com	9	0.009
Complete_Sweep_Of	rookie_Alex_Prugh	Grupo_Herdez	E_CigaretteDirect_LLC	13	0.013
Complete_Sweep_Of	rookie_Alex_Prugh	WITH_RESPECT	Mark_Abramson_MEDIANEWS	2	0.002
Complete_Sweep_Of	rookie_Alex_Prugh	E_CigaretteDirect_LLC	Grupo_Herdez	2	0.002
Complete_Sweep_Of	rookie_Alex_Prugh	visit_www.ewga.com	Grupo_Herdez	6	0.006
Complete_Sweep_Of	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	WITH_RESPECT	1	0.001
Complete_Sweep_Of	rookie_Alex_Prugh	Mark_Abramson_MEDIANEWS	SIGNIFICANCE_OF	3	0.003
Complete_Sweep_Of	rookie_Alex_Prugh	puerto	Mark_Abramson_MEDIANEWS	1	0.001
Complete_Sweep_Of	rookie_Alex_Prugh	silks_velvets	SIGNIFICANCE_OF	4	0.004
Complete_Sweep_Of	rookie_Alex_Prugh	SIGNIFICANCE_OF	silks_velvets	1	0.001
Complete_Sweep_Of	rookie_Alex_Prugh	puerto	Grupo_Herdez	2	0.002
Complete_Sweep_Of	rookie_Alex_Prugh	visit_www.ewga.com	Mark_Abramson_MEDIANEWS	2	0.002
Complete_Sweep_Of	rookie_Alex_Prugh	visit_www.ewga.com	silks_velvets	1	0.001
Complete_Sweep_Of	rookie_Alex_Prugh	NA	NA	70	0.07
