B_dom	B_cod	A_dom	A_cod	count	probability
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	WITH_RESPECT	438	0.438
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	SIGNIFICANCE_OF	26	0.026
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	Mark_Abramson_MEDIANEWS	29	0.029
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	puerto	176	0.176
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	silks_velvets	22	0.022
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	Grupo_Herdez	160	0.16
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	E_CigaretteDirect_LLC	77	0.077
Has_Changed_Forever	SIGNIFICANCE_OF	sliced_ham	visit_www.ewga.com	31	0.031
Has_Changed_Forever	SIGNIFICANCE_OF	NA	NA	41	0.041
Has_Changed_Forever	Latest_Advancements	sliced_ham	puerto	123	0.123
Has_Changed_Forever	Latest_Advancements	sliced_ham	Grupo_Herdez	189	0.189
Has_Changed_Forever	Latest_Advancements	sliced_ham	silks_velvets	53	0.053
Has_Changed_Forever	Latest_Advancements	sliced_ham	WITH_RESPECT	267	0.267
Has_Changed_Forever	Latest_Advancements	sliced_ham	E_CigaretteDirect_LLC	129	0.129
Has_Changed_Forever	Latest_Advancements	sliced_ham	SIGNIFICANCE_OF	76	0.076
Has_Changed_Forever	Latest_Advancements	sliced_ham	visit_www.ewga.com	48	0.048
Has_Changed_Forever	Latest_Advancements	sliced_ham	Mark_Abramson_MEDIANEWS	74	0.074
Has_Changed_Forever	Latest_Advancements	NA	NA	41	0.041
Latest_Advancements	SIGNIFICANCE_OF	puerto	WITH_RESPECT	114	0.114
Latest_Advancements	SIGNIFICANCE_OF	Grupo_Herdez	WITH_RESPECT	160	0.16
Latest_Advancements	SIGNIFICANCE_OF	Grupo_Herdez	SIGNIFICANCE_OF	11	0.011
Latest_Advancements	SIGNIFICANCE_OF	silks_velvets	Mark_Abramson_MEDIANEWS	8	0.008
Latest_Advancements	SIGNIFICANCE_OF	WITH_RESPECT	puerto	153	0.153
Latest_Advancements	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	WITH_RESPECT	108	0.108
Latest_Advancements	SIGNIFICANCE_OF	SIGNIFICANCE_OF	silks_velvets	2	0.002
Latest_Advancements	SIGNIFICANCE_OF	WITH_RESPECT	silks_velvets	14	0.014
Latest_Advancements	SIGNIFICANCE_OF	visit_www.ewga.com	puerto	7	0.007
Latest_Advancements	SIGNIFICANCE_OF	visit_www.ewga.com	Grupo_Herdez	8	0.008
Latest_Advancements	SIGNIFICANCE_OF	Grupo_Herdez	Mark_Abramson_MEDIANEWS	18	0.018
Latest_Advancements	SIGNIFICANCE_OF	WITH_RESPECT	Grupo_Herdez	51	0.051
Latest_Advancements	SIGNIFICANCE_OF	WITH_RESPECT	E_CigaretteDirect_LLC	38	0.038
Latest_Advancements	SIGNIFICANCE_OF	SIGNIFICANCE_OF	Grupo_Herdez	41	0.041
Latest_Advancements	SIGNIFICANCE_OF	silks_velvets	WITH_RESPECT	44	0.044
Latest_Advancements	SIGNIFICANCE_OF	visit_www.ewga.com	E_CigaretteDirect_LLC	23	0.023
Latest_Advancements	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	visit_www.ewga.com	12	0.012
Latest_Advancements	SIGNIFICANCE_OF	WITH_RESPECT	visit_www.ewga.com	10	0.01
Latest_Advancements	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	Grupo_Herdez	55	0.055
Latest_Advancements	SIGNIFICANCE_OF	SIGNIFICANCE_OF	visit_www.ewga.com	6	0.006
Latest_Advancements	SIGNIFICANCE_OF	visit_www.ewga.com	WITH_RESPECT	9	0.009
Latest_Advancements	SIGNIFICANCE_OF	SIGNIFICANCE_OF	puerto	14	0.014
Latest_Advancements	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	E_CigaretteDirect_LLC	5	0.005
Latest_Advancements	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	Grupo_Herdez	4	0.004
Latest_Advancements	SIGNIFICANCE_OF	puerto	SIGNIFICANCE_OF	9	0.009
Latest_Advancements	SIGNIFICANCE_OF	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	11	0.011
Latest_Advancements	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	puerto	2	0.002
Latest_Advancements	SIGNIFICANCE_OF	E_CigaretteDirect_LLC	SIGNIFICANCE_OF	5	0.005
Latest_Advancements	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	silks_velvets	6	0.006
Latest_Advancements	SIGNIFICANCE_OF	WITH_RESPECT	Mark_Abramson_MEDIANEWS	1	0.001
Latest_Advancements	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	WITH_RESPECT	3	0.003
Latest_Advancements	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	visit_www.ewga.com	3	0.003
Latest_Advancements	SIGNIFICANCE_OF	silks_velvets	Grupo_Herdez	1	0.001
Latest_Advancements	SIGNIFICANCE_OF	SIGNIFICANCE_OF	Mark_Abramson_MEDIANEWS	2	0.002
Latest_Advancements	SIGNIFICANCE_OF	visit_www.ewga.com	SIGNIFICANCE_OF	1	0.001
Latest_Advancements	SIGNIFICANCE_OF	NA	NA	41	0.041
